eez_list,trip_count,total_trips
"GL,H4,H5,I4,NR,PX,TK,TV",1,20444
"H5,LN,PG",1,20444
"GL,H5,I4,I5,LN,PX",1,20444
"FM,H4,SB,TK,TV",1,20444
"GL,H4,I4,MH,NR,TV",1,20444
"H5,I5,LN,MH,PX",1,20444
"GL,H5,I4,I5,MH",1,20444
"FM,H4,SB,TV",1,20444
"GL,H4,I5,LN",1,20444
"H5,I5,PX,PY",1,20444
"GL,H5,I4,MH,NR",1,20444
"FM,H5,I4,I5,MH,NR,PG",1,20444
"GL,H4,I5,PX,TV",1,20444
"H5,HB,I4,LN,PX",1,20444
"GL,H4,I4,TK,TV",1,20444
"CK,LN,PX,TV",1,20444
"GL,H4,NR,PG,TK,TV",1,20444
"H5,I4,I5,LN,MH,PX",1,20444
"GL,H4,I5,NR",1,20444
"CK,LN,TK,TO,WS",1,20444
"GL,H4,NR,PX,SB",1,20444
"H5,I4,PX,SB",1,20444
"GL,I4,NR,SB",1,20444
"CK,PX,TK,WS",1,20444
"GL,H4,MH,NR,PG,PX,SB",1,20444
"H4,PX,SB,TK",1,20444
"GL,I4,PG,PX,SB,TK,TV",1,20444
"CK,H5,I5,PX,PY",1,20444
"GL,H4,MH,NR,PX",1,20444
"H5,I4,I5,LN,PX,PY",1,20444
"GL,I4,PG,PX,SB,TV",1,20444
"CK,H5,IW",1,20444
"GL,H4,I4,NR,TV",1,20444
"H5,I4,I5,TK",1,20444
"GL,I4,I5,PG,PX",1,20444
"CK,H5,PX,WS",1,20444
"GL,H4,I4,PG",1,20444
"H5,I4,I5,TV",1,20444
"GL,I4,MH,NR,PX,TV",1,20444
"FM,GL,I2,MH,NR",1,20444
"FM,H5,I4,PX",1,20444
"H5,I4,MH",1,20444
"GL,I4,MH,PG,TV",1,20444
"FM,GL,I2,MH,NR,SB",1,20444
"FM,H5,I4,PX,TV",1,20444
"HB,LN,PX,PY,TK",1,20444
"GL,I5,MH",1,20444
"FM,GL,I2,MH,SB",1,20444
"FM,H5,PX",1,20444
"HB,PG,PX",1,20444
"GL,I5,PX,TV",1,20444
"FM,GL,H5,NR,PG,PX,TK",1,20444
"FM,H4,NR,PX,TV",1,20444
"I2,MH,NR,PG",1,20444
"GL,LN,MH,NR",1,20444
"CK,H5,TV",1,20444
"FM,H4,PG",1,20444
"I2,SB,TV",1,20444
"GL,I4,I5,LN,PX",1,20444
"CK,H4,LN,PX",1,20444
"FM,H5,I4,I5",1,20444
"I4,I5,PG,PX",1,20444
"GL,I4,I5,MH,NR",1,20444
"CK,H5,HB,I4,I5,LN,PX,PY",1,20444
"FM,H5,I4,MH,NR",1,20444
"I4,I5,PX,TK",1,20444
"GL,HB,I5,LN,PX",1,20444
"CK,H5,HB,I5,IW,LN",1,20444
"FM,GL,PG,PX,SB,TV",1,20444
"I4,I5,LN,MH",1,20444
"GL,HB,TK,WS",1,20444
"CK,H5,I4,LN",1,20444
"FM,GL,PX,TK,TV",1,20444
"I4,I5,LN,PG,SB",1,20444
"GL,I2,I4,NR,PG",1,20444
"CK,H5,I5,IW,LN,PY",1,20444
"FM,GU,PG",1,20444
"H5,NR,PG",1,20444
"GL,I2,PX,SB,TV",1,20444
"CK,H5,I5,LN,PX,TK,TV",1,20444
"FM,GL,NR,PG,PX",1,20444
"H5,NR,PG,PX",1,20444
"GL,H5,I4,PX,SB,TV",1,20444
"AS,CK,H5,I5,LN,PY,TK",1,20444
"FM,GL,NR,PG,PX,SB,TK,TV",1,20444
"H5,PG,PX,TK,TV",1,20444
"GL,H5,I5,LN",1,20444
"AS,H4,H5,HB,I4,I5,PX,TK",1,20444
"FM,NR,PX,TK",1,20444
"H5,MH,NR,PX",1,20444
"GL,H5,I5,LN,MH,PX",1,20444
"AS,H5,I5,PX",1,20444
"GL,H4,H5,I2,NR,PX,SB,TV",1,20444
"H5,MH,PX",1,20444
"GL,H5,I5,NR",1,20444
"CK,GL,PX,SB,TK,TV",1,20444
"GL,H4,H5,I4,I5,LN,PX,TV",1,20444
"HB,I4",1,20444
"GL,H5,I5,NR,PX,TV",1,20444
"CK,H4,H5,HB,I4,I5,LN,PX,TK,WS",1,20444
"FM,H4,I4,PG,TV",1,20444
"GL,I5,IW,LN,PX",1,20444
"GL,H5,I5,PG,PX",1,20444
"CK,H4,H5,HB,I5,LN",1,20444
"FM,I2,ID,PG",1,20444
"GL,I5,LN,MH,NR,PG",1,20444
"GL,H5,MH",1,20444
"CK,GL,H4,H5,I4,MH,NR,PX",1,20444
"FM,GL,I2,I4,MH",1,20444
"GL,I5,LN,NR,PG",1,20444
"GL,H5,MH,TV",1,20444
"CK,GL,H4,H5,LN,PX",1,20444
"FM,GL,I2,NR",1,20444
"GL,I5,TV",1,20444
"GL,H5,NR",1,20444
"CK,GL,H4,LN",1,20444
"FM,GL,I2,PG",1,20444
"GL,IW,LN,PX",1,20444
"H4,HB,I4,PX",1,20444
"CK,GL,H5,HB,I4,I5,LN,PX,TV",1,20444
"FM,GL,I4,I5,LN",1,20444
"GL,LN,NR,PX,SB,TV",1,20444
"H4,I4,I5,MH,PX",1,20444
"CK,GL,H5,I4,I5,NR,PX,SB,TK",1,20444
"FM,GL,I4,I5,MH,NR",1,20444
"GL,I4,MH,PG,PX,SB,TV",1,20444
"H4,I4,I5,NR",1,20444
"CK,GL,H5,TV",1,20444
"FM,GL,I4,I5,NR",1,20444
"GL,I4,LN,MH",1,20444
"H4,I4,NR,PG,TV",1,20444
"CK,TK,TV,WS",1,20444
"FM,GL,I4,I5,PG",1,20444
"GL,I4,NR,PG,SB,TV",1,20444
"H4,I4,NR,TV",1,20444
"FJ,NR,SB",1,20444
"FM,GL,I4,NR,PG,TV",1,20444
"GL,I4,NR,PG,TV",1,20444
"H4,H5,HB",1,20444
"FJ,PX,TO,TV,WS",1,20444
"FM,GL,I4,NR,SB",1,20444
"GL,HB,I5,PX",1,20444
"H4,H5,I4,PX,TK",1,20444
"FM,GL,H4,H5,I4,NR,PX,TV",1,20444
"FM,GL,I4,NR,SB,TV",1,20444
"GL,HB,SB,TV",1,20444
"H4,H5,I4,PX,TV",1,20444
"FM,GL,H4,H5,I4,PX",1,20444
"FM,GL,I4,PG,SB,TV",1,20444
"GL,H5,LN,PX,PY,TV",1,20444
"H4,I5,IW,LN,PY",1,20444
