eez_list,trip_count,total_trips
"I6,I7,IW,PF",1,41504
"I6,JP",1,41504
"H5,I2,I4,I5,TV",1,41504
"CK,GL,H4,H5,I4,I5,LN,PX",1,41504
"I7,IW,LN",1,41504
"I8,MA,SB,VU",1,41504
"I9,LN,PF",1,41504
"CK,GL,H4,H5,I5,LN,PX,TV",1,41504
"H4,I2,I4",1,41504
"I7,NF,SB",1,41504
"I8,TV,VU,WF",1,41504
"CK,H4,H5,I2,I8,TV",1,41504
"H4,I2,I4,SB",1,41504
"I7,NF,TO,VU",1,41504
"I8,MA,VU",1,41504
"CK,H4,H5,TK,VU",1,41504
"H4,H5,MA,VU",1,41504
"I7,NU,TK",1,41504
"I6,I7,IW,PN",1,41504
"CK,H5,I9",1,41504
"H4,H5,TK",1,41504
"I7,PF",1,41504
"I4,I6,IW,JP",1,41504
"CK,H5,I9,LN",1,41504
"H4,I2,PX,TK,TV",1,41504
"I2,I7,TV,VU",1,41504
"I4,TO",1,41504
"AS,TK,WF,WS",1,41504
"H4,I3,I4,I6",1,41504
"I2,IW,PG,SB",1,41504
"I3,MP",1,41504
"AU,I2,I8,PG,SB",1,41504
"H4,I8,TK",1,41504
"I2,I4,I6,I8",1,41504
"I3,I6,PG",1,41504
"AU,I2,I8,PG,VU",1,41504
"H4,I8,VU",1,41504
"I2,I7,I8,MA,VU",1,41504
"I2,I9,SB",1,41504
"AU,I2,SB",1,41504
"H4,NU,WS",1,41504
"I3,TV",1,41504
"I3,I4,I6,IW",1,41504
"AU,I7,VU",1,41504
"H5,I2,I8,TV",1,41504
"I4,I5,I6,LN",1,41504
"SB,TW",1,41504
"I7,I8,MA,VU",1,41504
"H5,I4,NU",1,41504
"I4,I5,PY",1,41504
"TO,WF,WS",1,41504
"I7,I8,NC,NF,SB",1,41504
"H5,I3,I4,I6",1,41504
"I4,IW,LN",1,41504
"LN,PF",1,41504
"I5,JV,LN,PX",1,41504
"H5,I4,I5,IW,LN,PF",1,41504
"I5,IW,JV,LN",1,41504
"H5,I4,I5,JV",1,41504
"I6,I7,I9,IW",1,41504
"HW,I3,I4,I6,IW",1,41504
"I5,I7,IW,PN",1,41504
"HW,I4,I6",1,41504
"I5,I6,IW,PF",1,41504
"I1,I2,I7,I8",1,41504
KR,1,41504
"I1,I2,PG,SB",1,41504
"MH,NR",1,41504
"I1,I3,SB",1,41504
"I8,PG,VU",1,41504
"I9,TK,WS",1,41504
"PX,TV",1,41504
"TO,WF",1,41504
