log_trip_id,vessel_flag,primary_eez_code,departure_month,modal_offset
54644AAC-1A71-0994-6481-39DA04F7E60A,FM,FM,7,11
04E709A4-9698-EEB4-49C4-39DA04F7EB2F,PG,PG,7,10
A39AFFCB-C2B1-E2F7-5803-39DA04F7EC5C,PG,PG,7,10
F5CAF218-13FF-EF8E-3639-39DA04F7F360,PG,PG,7,10
9C8D0174-9A6F-5A76-923D-39DA04F80B47,PG,PG,7,10
6CD82D57-3F58-E9CE-E708-39DA04F80DA2,PG,PG,7,10
5E78F7F4-34ED-AF75-9CBD-39DA04F81355,PG,PG,7,10
9181F880-488B-312E-7E0E-39DA04F813E6,PH,PG,7,10
A4687A9D-B0BF-FD0E-2579-39DA04F8169C,PG,PG,7,10
3BAAC4E0-B1F6-419D-7B93-39DA04F81FDE,PG,PG,6,10
D3BE0F8F-73FE-6508-EEEF-39DA04F8212F,PG,PG,7,10
BE167AF4-AD15-AE40-B1FF-39DA04F8260B,FM,PG,6,10
4E90A424-B3B3-B8AE-75EA-39DA04F830B2,SB,I4,7,12
0D579152-A0B0-71CB-4225-39DA04F83151,TW,PG,2,10
DB2FA0EA-0050-E7DA-1422-39DA04F83346,MH,NR,7,12
9F7FF44F-CE21-B92E-0573-39DA04F83CFE,PH,PG,7,10
4A5DAB0B-8956-68A7-4F76-39DA04F84036,PG,PG,7,10
B4B902FB-2CD6-6041-503A-39DA04F840C6,PG,PG,7,10
758359B6-489F-BA01-0589-39DA04F8416C,PG,PG,7,10
DE9C9710-9192-D319-3157-39DA04F84E22,PG,GL,8,11
F33DFBCB-C629-C55A-00D5-39DA04F859EF,PG,PG,7,10
2122F166-5801-04E7-1633-39DA04F85E18,FM,FM,8,11
693DC429-A598-8456-8D44-39DA04F863D1,PG,PG,7,10
ACFC2A1E-0D33-6147-5147-39DA04F8640B,KR,FM,6,10
58CBA9F3-E3F9-6AA8-010A-39DA04F86C00,PG,PG,8,10
AAE9801A-1A65-2BE5-BFDC-39DA04F8707A,FM,FM,8,-11
DBB5D775-3843-C964-D415-39DA04F88988,PG,PG,9,10
A0A0E95E-4034-C31D-FC6B-39DA04F889ED,TW,,9,12
8ED1BA8D-C5DE-2B16-BB16-39DA04F89110,PH,PG,9,10
640D56DA-DF98-FF3E-DD0E-39DA04F897EC,FM,FM,9,11
752089AE-1811-DB9E-38FA-39DA04F899D8,TW,,9,12
ADDAB804-675F-ACD7-0A86-39DA04F89B33,PG,PG,9,10
0392ABD4-8BFE-4A5A-E6B2-39DA04F89DC2,PG,PG,9,10
A0E7CAFF-2845-3BE0-555C-39DA04F8A580,PH,PG,9,10
177C0A7A-6EAD-15AF-C29B-39DA04F8A9B8,PG,PG,9,10
FC429385-BF9E-3F9C-C652-39DA04F8AB1F,PH,PG,9,10
D868FE70-A621-1878-2083-39DA04F8ABF6,FM,I4,9,-11
3FC485D1-DFCE-3253-1797-39DA04F8ACE9,PG,PG,9,10
6CE03669-9B42-42F6-FA5F-39DA04F8B050,PG,PG,9,10
C4B9572D-B372-AB9A-3BFF-39DA04F8B16D,PG,PG,10,10
17F5CE55-C656-C6C6-2033-39DA04F8C09B,PG,PG,9,10
38D935F5-FAF0-57FB-B654-39DA04F8C83A,KI,PG,5,-10
38D935F5-FAF0-57FB-B654-39DA04F8C83A,KI,SB,5,-10
8C742DEA-74AF-7EE9-B911-39DA04F8CC3B,PG,PG,9,10
9B27497A-A184-9503-4700-39DA04F8D242,FM,GL,9,12
EC449F3A-58DE-DD0B-2110-39DA04F8D638,PG,PG,7,10
13D0A051-FE6C-DDA3-79C5-39DA04F8D699,PG,PG,8,10
45A366CD-754E-E7FF-CE11-39DA04F8F9FC,FM,FM,9,11
45A366CD-754E-E7FF-CE11-39DA04F8F9FC,FM,PG,9,11
20D92611-9F33-7281-C656-39DA04F8FDD3,FM,FM,10,-11
458AB50F-4805-5F1A-635B-39DA04F90073,PG,PG,9,10
6EA7FC17-F06E-BF09-CE03-39DA04F901FA,PG,FM,9,11
1D72BAA9-F2AE-5D3D-E091-39DA04F90EC3,PG,PG,10,10
37A182AD-F768-770F-685C-39DA04F90FEB,FM,FM,9,11
0E1426F1-AE50-3344-232C-39DA04F9108F,PG,PG,10,10
0E1426F1-AE50-3344-232C-39DA04F9108F,PG,PG,10,11
B38A920E-B07F-B1B9-5A33-39DA04F91DAA,PH,PG,10,10
CF3A4EB6-51DB-B42B-F31D-39DA04F91EBB,PG,PG,10,10
8905DE8B-227D-992B-1F50-39DA04F91FA4,PH,PG,10,10
442FF606-E77E-6E86-507B-39DA04F925E7,FM,FM,10,11
76D065BC-4C36-578D-60CA-39DA04F92DEF,PG,PG,10,10
1E9E1793-FD61-0DB3-DB10-39DA04F9356E,PG,PG,10,10
087660F5-9D9C-3879-F28C-39DA04F93A2E,PG,PG,10,10
99E3200C-5F8F-14B5-BE1A-39DA04F93C46,KR,FM,6,11
2150C414-F185-9626-7720-39DA04F9412A,PG,PG,10,10
9A86982D-7206-8516-B6FF-39DA04F9491E,PH,PG,10,10
F88B397A-1CCF-F34B-F2E5-39DA04F94E80,PG,FM,10,10
BD05A741-2736-5299-1413-39DA04F9525F,PG,PG,10,10
3F0E1E7E-7131-0C5F-8B5B-39DA04F954F0,KI,H5,9,11
3F0E1E7E-7131-0C5F-8B5B-39DA04F954F0,KI,H5,9,12
1579F701-53B8-6767-CB16-39DA04F95648,KI,I5,10,-11
92A4D36C-5DFA-7C4B-28B6-39DA04F95A5E,PG,PG,10,10
DD85A2F0-6C18-24DF-83F3-39DA04F95C1E,PG,NR,9,10
1DCB149D-3BB9-572A-6D64-39DA04F95D1C,PG,FM,10,11
331B7C88-562D-55CB-E940-39DA04F96289,PH,PG,10,10
84AD1446-8590-7185-72FD-39DA04F96315,PG,PG,3,10
6858814F-EA91-A512-9556-39DA04F966CF,PG,PG,11,10
3B0AD12F-4C2B-9F46-C2AD-39DA04F96E2D,FM,I5,10,-11
9E11912E-7D76-0C1B-C2C3-39DA04F96E7E,PG,PG,10,10
3C050A90-2FE4-8ACD-FEA0-39DA04F96EA8,PG,PG,10,10
75EE4102-6956-707C-FCDD-39DA04F9706A,PG,SB,10,10
4C37AA9C-433A-6D69-F63E-39DA04F973B9,FM,FM,8,-12
4C37AA9C-433A-6D69-F63E-39DA04F973B9,FM,H5,8,-12
265A421C-FC35-E548-2D55-39DA04F983EB,FM,GL,10,11
265A421C-FC35-E548-2D55-39DA04F983EB,FM,NR,10,11
99C924F2-CF63-CFAD-AD8A-39DA04F98913,PG,PG,5,10
5AE90A31-3D95-3025-C299-39DA04F98996,PG,PG,6,10
132197C6-1E36-6D24-2039-39DA04F989EF,PG,PG,7,10
B9039499-3250-C65B-AE44-39DA04F99227,FM,PG,11,11
9E1A5885-B3A3-4CC6-6DF5-39DA04F9934F,PG,PG,10,10
73065CA0-7FD8-F1A9-D8E5-39DA04F9966C,FM,NR,11,12
2A349087-4AC4-8BE0-BEAE-39DA04F99867,PG,PG,9,11
2B2270E6-E679-37EC-F6BC-39DA04F99BCA,PG,PG,11,10
1558BD0A-AA14-C80E-FDBF-39DA04F99CE2,NR,PG,11,10
202141F8-4D53-F87D-A3E6-39DA04F9A11D,PG,PG,11,10
AB69459A-4E87-9FBA-FC9D-39DA04F9A6E9,PG,PG,11,10
F22FDE84-0FFC-324A-00B6-39DA04F9AB26,PG,PG,11,10
4A9C2C58-EEAD-F9F1-6EA5-39DA04F9ACD7,KI,H5,10,-10
