eez_list,trip_count,total_trips
"I4,I5,LN,TK,WS",1,20668
"GL,H4,I4,MH,NR,TV",1,20668
"GL,H5,NR,PX,TK",1,20668
"GL,I4,I5,PX,SB",1,20668
"FM,GL,H4,MH,PG",1,20668
"GL,H5,I5,LN",1,20668
"AS,H4,H5,HB,I4,I5,PX,TK",1,20668
"H4,I4,I5,LN,PX,TK,TV",1,20668
"I4,I5,NR,TV",1,20668
"GL,H4,I4,MH,PG,PX,TV",1,20668
"H5,I5,NR,PX",1,20668
"GL,H5,HB,I4,LN,PX,TV",1,20668
"FM,GL,H5,I4,I5,LN,NR,PX",1,20668
"GL,H5,MH",1,20668
"H4,H5,HB",1,20668
"H4,I4,MH,TV",1,20668
"I4,NR,PG,SB",1,20668
"GL,H4,I4,PG",1,20668
"GL,H4,I2,TV",1,20668
"GL,H5,I4,NR,PG,PX,SB,TV",1,20668
"FJ,GL,HB,I2,I4,SB,TV",1,20668
"GL,HB,TK,WS",1,20668
"CK,H4,H5,HB,I4,I5,LN,PX,TK,WS",1,20668
"H4,I4,NR,PX,TV",1,20668
"I4,PX,TV",1,20668
"GL,H4,I5,LN",1,20668
"H5,I5,PX,PY",1,20668
"GL,H5,I5,NR,PG,PX",1,20668
"FM,GL,H5,NR,PG,PX",1,20668
"GL,H4,PG",1,20668
"H4,H5,HB,PX",1,20668
"H4,I4,PG,PX,SB,TV",1,20668
"I5,MH,NR",1,20668
"GL,H4,MH,PG,SB,TV",1,20668
"GL,H4,I4,I5,NR,PX,TV",1,20668
"FM,LN,MH,NR",1,20668
"FJ,TV",1,20668
"CK,H5,TK,TV",1,20668
"CK,H5,HB,I5,IW,LN",1,20668
"H4,I5,PX",1,20668
"PG,SB,TK",1,20668
"GL,H4,NR,PG,PX",1,20668
"H5,JV,LN",1,20668
"GL,H4,H5,I4,I5,LN,PX,TV",1,20668
"FM,GL,I2,MH,SB",1,20668
"FM,GL,H4,H5,I4,LN,PX,TV",1,20668
"H4,H5,I4,PG,PX,TV",1,20668
"H4,MH,NR,PX,SB,TV",1,20668
"GL,I2,PX,SB,TV",1,20668
"FM,H5,I4,MH,NR",1,20668
"GL,H4,LN,PX,TV",1,20668
"GL,H4,H5,I4,LN,PX",1,20668
"CK,I5",1,20668
"FM,GL,H4,I4,MH,NR,PG",1,20668
"FM,GL,I2,I4,MH",1,20668
"H4,MH,TV",1,20668
"GL,I2,SB,TV,WS",1,20668
"FM,H5,I5",1,20668
"H5,LN,PX,WS",1,20668
"FM,H4,I4,NR,PX,SB,TV",1,20668
"FM,GL,I2,PG,SB",1,20668
"FM,GL,H4,I4,PG,SB,TV",1,20668
"H4,HB,I4,WS",1,20668
"H4,NR,PG,TV",1,20668
"GL,I4,LN,MH,NR,PX",1,20668
"FM,H5,I5,PG,PX,SB",1,20668
"GL,H4,MH,NR,PG,PX,SB",1,20668
"FM,H4,SB,TK,TV",1,20668
"FM,GL,H5,I5,MH,NR,PX,TK,TV",1,20668
"FM,GL,H4,MH,NR,PG",1,20668
"FM,GL,I4,PG,SB,TV",1,20668
"H4,PG,PX,SB,TK,TV",1,20668
"GL,H5,LN",1,20668
"FM,I2,MH,PG,SB",1,20668
"H5,PG,PX",1,20668
"FM,GL,I4,NR,PG,PX,TV",1,20668
"FM,GL,I4,I5,LN",1,20668
"AS,CK,H5",1,20668
"H4,HB,PX,PY,TK",1,20668
"FM,GL,H4,H5,I4,PX",1,20668
"GL,HB,TK,TV",1,20668
"FM,GL,NR,PX,TK,TV",1,20668
"GL,H4,MH,NR,TV",1,20668
"FM,GL,I4,SB",1,20668
"FM,GL,I2,MH,NR",1,20668
"AS,CK,H5,LN,PX,TK,TV",1,20668
"FM,GL,MH,NR,PG,PX,SB,TV",1,20668
"FM,GL,H4,H5,NR,PG,TV",1,20668
"GL,I2,NR,PG,SB",1,20668
"FM,GL,PG,PX",1,20668
"I1,I3,JP",1,20668
"AS,CK,HB,I4,WS",1,20668
